t,agent,neighbor,tau,score,contacts,reputation,self_p
29,S15,S11,0.9703750155863377,1.0940761397931875,16,0.5,0.32216498242997593
29,S15,S2,0.8778091417340573,1.0129771738175954,12,1.0,0.32216498242997593
29,S15,S5,0.990025,1.180320436176928,3,0.5,0.32216498242997593
29,S8,S11,0.8690529955452602,1.091398566650387,1,0.0,0.13459045116325874
29,S8,S14,0.8786652246560614,1.004906363197807,15,0.0,0.13459045116325874
29,S8,S6,0.9381870715778935,1.0701298400418862,13,0.0,0.13459045116325874
29,S8,S9,0.985074875,1.175370311176928,3,0.5,0.13459045116325874
29,S10,S13,0.9083958101933951,1.0403385786573878,13,0.0,0.042694239807007865
29,S2,S7,0.8690529955452602,1.091398566650387,1,0.0,0.13704066009499358
29,S2,S3,0.903326144475056,1.0384941765585942,12,0.5,0.13704066009499358
29,S2,S15,0.990025,1.1939583980337618,2,1.0,0.13704066009499358
29,S3,S15,0.8690529955452602,1.091398566650387,1,1.0,0.10932200678073847
29,S3,S17,0.8927697379293087,1.027937770012847,12,0.0,0.10932200678073847
29,S3,S7,0.9067396355231068,1.0386824039870994,13,0.0,0.10932200678073847
29,S3,S2,0.9883515838056627,1.1679390846126647,4,0.0,0.10932200678073847
29,S14,S16,0.9492402683717671,1.0782190741246453,14,0.0,0.030983776601918943
29,S17,S5,0.8690529955452602,1.091398566650387,1,1.0,0.055702492128552855
29,S17,S3,0.8690529955452602,1.091398566650387,1,1.0,0.055702492128552855
30,S4,S11,0.9806958634104098,1.160283364217412,4,0.0,0.030639905114346038
30,S6,S16,0.8647077305675338,1.0870533016726605,1,1.0,0.3179331392180851
30,S6,S9,0.8647077305675338,1.0870533016726605,1,0.0,0.3179331392180851
30,S6,S8,0.9802589889248263,1.1598464897318284,4,0.0,0.3179331392180851
30,S7,S2,0.8647077305675338,1.0870533016726605,1,0.0,0.16315563194211957
30,S7,S3,0.9801495006250001,1.184082898658762,2,0.5,0.16315563194211957
30,S13,S8,0.8647077305675338,1.0870533016726605,1,0.5,0.08122904755410124
30,S13,S10,1.0047211056891385,1.1950165418660665,3,0.0,0.08122904755410124
30,S17,S5,0.8647077305675338,1.0870533016726605,1,1.0,0.09594677825711986
30,S17,S3,0.8647077305675338,1.0870533016726605,1,1.0,0.09594677825711986
30,S11,S4,0.8746629862077837,1.0066057546717764,13,0.0,0.014219407074761157
30,S14,S16,0.9444940670299082,1.0734728727827865,14,0.0,0.025451239724230818
30,S5,S15,0.9215092000165483,1.0566772321000866,12,0.0,0.03740287709106212
30,S5,S16,0.9801495006250001,1.170444936801928,3,0.0,0.03740287709106212
30,S2,S7,0.8647077305675338,1.0870533016726605,1,0.0,0.11865958230511206
30,S2,S3,0.8988095137526807,1.0339775458362188,12,0.5,0.11865958230511206
30,S2,S15,0.985074875,1.175370311176928,3,1.0,0.11865958230511206
30,S10,S13,0.9038538311424281,1.035796599606421,13,0.0,0.03536562519273168
30,S16,S4,0.8647077305675338,1.0870533016726605,1,0.0,0.11422067056201038
30,S16,S17,0.8647077305675338,1.0870533016726605,1,0.0,0.11422067056201038
30,S16,S9,0.906887298194431,1.0388300666584236,13,0.0,0.11422067056201038
30,S16,S5,0.9014801191936818,1.0277212577354273,15,0.0,0.11422067056201038
30,S16,S14,0.9812384401407285,1.1520853079370967,5,0.0,0.11422067056201038
30,S15,S14,0.8647077305675338,1.0870533016726605,1,1.0,0.38150882910800077
30,S15,S11,0.9655231405084059,1.089224264715256,16,0.5,0.38150882910800077
30,S15,S2,0.8734200960253871,1.0085881281089253,12,1.0,0.38150882910800077
30,S15,S5,0.985074875,1.164662375807002,4,0.5,0.38150882910800077
30,S3,S15,0.8647077305675338,1.0870533016726605,1,1.0,0.13045675388899117
30,S3,S17,0.8883058892396621,1.0234739213232003,12,0.0,0.13045675388899117
30,S3,S7,0.9022059373454913,1.0341487058094838,13,0.0,0.13045675388899117
30,S3,S2,0.9840668931024987,1.1549137608988669,5,0.0,0.13045675388899117
30,S9,S10,0.8647077305675338,0.9909488691092794,15,0.0,0.0165933361075457
30,S9,S8,0.8734573490065337,1.0024361547594118,14,0.0,0.0165933361075457
30,S8,S11,0.8647077305675338,1.0870533016726605,1,0.0,0.11224166297660723
30,S8,S14,0.8742718985327811,1.0005130370745268,15,0.0,0.11224166297660723
30,S8,S6,0.933496136220004,1.0654389046839967,13,0.0,0.11224166297660723
30,S8,S9,0.9801495006250001,1.159737001432002,4,0.0,0.11224166297660723
31,S4,S11,0.9757923840933578,1.146639251889726,5,0.0,0.03713339639222807
31,S6,S16,0.8603841919146962,1.082729763019823,1,1.0,0.4543465113744681
31,S6,S9,0.8603841919146962,1.082729763019823,1,0.0,0.4543465113744681
31,S6,S8,0.9753576939802022,1.1462045617765704,5,0.0,0.4543465113744681
31,S7,S2,0.8603841919146962,1.082729763019823,1,0.0,0.2611142764868456
31,S7,S3,0.9752487531218751,1.165544189298803,3,0.5,0.2611142764868456
31,S13,S8,0.8603841919146962,1.082729763019823,1,0.5,0.10063583484337235
31,S13,S10,0.9997322809698438,1.179319781776846,4,0.0,0.10063583484337235
31,S17,S5,0.8603841919146962,1.082729763019823,1,1.0,0.0767574226056959
